"City","County","Rate","rate_float"
"Alameda*","Alameda",9.25,0.0925
"Army Terminal","Alameda",9.25,0.0925
"Ashland","Alameda",9.25,0.0925
"Berkeley*","Alameda",9.25,0.0925
"Bradford","Alameda",9.25,0.0925
"Castro Valley","Alameda",9.25,0.0925
"Cresta Blanca","Alameda",9.25,0.0925
"Dublin*","Alameda",9.25,0.0925
"Elmwood","Alameda",9.25,0.0925
"Emeryville*","Alameda",9.25,0.0925
"Fremont*","Alameda",9.25,0.0925
"Government Island","Alameda",9.25,0.0925
"Heyer","Alameda",9.25,0.0925
"Landscape","Alameda",9.25,0.0925
"Livermore*","Alameda",9.25,0.0925
"Naval Air Station (Alameda*)","Alameda",9.25,0.0925
"Naval Hospital (Oakland*)","Alameda",9.25,0.0925
"Naval Supply Center (Oakland*)","Alameda",9.25,0.0925
"Oakland*","Alameda",9.25,0.0925
"Piedmont*","Alameda",9.25,0.0925
"Pleasanton*","Alameda",9.25,0.0925
"San Lorenzo","Alameda",9.25,0.0925
"South Shore (Alameda*)","Alameda",9.25,0.0925
"Sunol","Alameda",9.25,0.0925
"Warm Springs (Fremont*)","Alameda",9.25,0.0925
"Albany*","Alameda",9.75,0.0975
"Hayward*","Alameda",9.75,0.0975
"Newark*","Alameda",9.75,0.0975
"San Leandro*","Alameda",9.75,0.0975
"Union City*","Alameda",9.75,0.0975
"Bear Valley","Alpine",7.25,0.0725
"Hope Valley (Forest Camp)","Alpine",7.25,0.0725
"Kirkwood","Alpine",7.25,0.0725
"Lake Alpine","Alpine",7.25,0.0725
"Markleeville","Alpine",7.25,0.0725
"Woodfords","Alpine",7.25,0.0725
"Amador City*","Amador",7.75,0.0775
"Bear River Lake","Amador",7.75,0.0775
"Drytown","Amador",7.75,0.0775
"Fiddletown","Amador",7.75,0.0775
"Ione*","Amador",7.75,0.0775
"Jackson*","Amador",7.75,0.0775
"Kit Carson","Amador",7.75,0.0775
"Martell","Amador",7.75,0.0775
"Pine Grove","Amador",7.75,0.0775
"Pioneer","Amador",7.75,0.0775
"Plymouth*","Amador",7.75,0.0775
"River Pines","Amador",7.75,0.0775
"Silver Lake","Amador",7.75,0.0775
"Sutter Creek*","Amador",7.75,0.0775
"Volcano","Amador",7.75,0.0775
"Bangor","Butte",7.25,0.0725
"Berry Creek","Butte",7.25,0.0725
"Biggs*","Butte",7.25,0.0725
"Butte Meadows","Butte",7.25,0.0725
"Chico*","Butte",7.25,0.0725
